starttime	seconds	ctime	dtime	ttime	wait
Sat Feb 03 23:26:52 2024	1706982112	0	47	47	44
Sat Feb 03 23:26:54 2024	1706982114	0	47	47	46
Sat Feb 03 23:26:52 2024	1706982112	0	47	47	45
Sat Feb 03 23:26:54 2024	1706982114	0	47	47	45
Sat Feb 03 23:26:53 2024	1706982113	0	47	47	45
Sat Feb 03 23:26:52 2024	1706982112	0	47	47	46
Sat Feb 03 23:26:50 2024	1706982110	0	47	47	46
Sat Feb 03 23:26:51 2024	1706982111	0	47	47	46
Sat Feb 03 23:26:52 2024	1706982112	0	47	47	45
Sat Feb 03 23:26:53 2024	1706982113	0	47	47	47
Sat Feb 03 23:26:51 2024	1706982111	0	47	47	45
Sat Feb 03 23:26:55 2024	1706982115	0	47	47	46
Sat Feb 03 23:26:53 2024	1706982113	0	47	47	46
Sat Feb 03 23:26:54 2024	1706982114	0	47	47	46
Sat Feb 03 23:26:52 2024	1706982112	0	48	48	43
Sat Feb 03 23:26:53 2024	1706982113	0	47	48	46
Sat Feb 03 23:26:51 2024	1706982111	0	48	48	47
Sat Feb 03 23:26:53 2024	1706982113	0	48	48	47
Sat Feb 03 23:26:54 2024	1706982114	0	47	48	46
Sat Feb 03 23:26:52 2024	1706982112	0	48	48	47
Sat Feb 03 23:26:54 2024	1706982114	0	48	48	46
Sat Feb 03 23:26:53 2024	1706982113	0	48	48	42
Sat Feb 03 23:26:55 2024	1706982115	0	47	48	46
Sat Feb 03 23:26:52 2024	1706982112	0	48	48	46
Sat Feb 03 23:26:52 2024	1706982112	0	48	48	47
Sat Feb 03 23:26:52 2024	1706982112	0	48	48	47
Sat Feb 03 23:26:52 2024	1706982112	0	48	48	47
Sat Feb 03 23:26:51 2024	1706982111	0	48	48	38
Sat Feb 03 23:26:53 2024	1706982113	0	48	48	47
Sat Feb 03 23:26:53 2024	1706982113	0	48	48	47
Sat Feb 03 23:26:52 2024	1706982112	0	48	48	47
Sat Feb 03 23:26:52 2024	1706982112	0	48	48	47
Sat Feb 03 23:26:53 2024	1706982113	0	48	48	47
Sat Feb 03 23:26:51 2024	1706982111	0	48	48	47
Sat Feb 03 23:26:54 2024	1706982114	0	48	48	45
Sat Feb 03 23:26:53 2024	1706982113	0	48	49	47
Sat Feb 03 23:26:51 2024	1706982111	0	49	49	45
Sat Feb 03 23:26:53 2024	1706982113	0	49	49	48
Sat Feb 03 23:26:52 2024	1706982112	0	49	49	48
Sat Feb 03 23:26:50 2024	1706982110	0	48	49	44
Sat Feb 03 23:26:51 2024	1706982111	0	49	49	48
Sat Feb 03 23:26:54 2024	1706982114	0	49	49	47
Sat Feb 03 23:26:52 2024	1706982112	0	49	49	48
Sat Feb 03 23:26:52 2024	1706982112	0	49	49	48
Sat Feb 03 23:26:54 2024	1706982114	0	49	49	46
Sat Feb 03 23:26:52 2024	1706982112	0	49	49	48
Sat Feb 03 23:26:51 2024	1706982111	0	49	49	48
Sat Feb 03 23:26:54 2024	1706982114	0	49	49	47
Sat Feb 03 23:26:50 2024	1706982110	0	50	50	49
Sat Feb 03 23:26:51 2024	1706982111	0	50	50	43
Sat Feb 03 23:26:52 2024	1706982112	0	50	50	46
Sat Feb 03 23:26:52 2024	1706982112	0	50	50	49
Sat Feb 03 23:26:51 2024	1706982111	0	50	50	49
Sat Feb 03 23:26:53 2024	1706982113	0	50	50	49
Sat Feb 03 23:26:52 2024	1706982112	0	50	50	50
Sat Feb 03 23:26:51 2024	1706982111	0	50	50	50
Sat Feb 03 23:26:53 2024	1706982113	0	50	50	49
Sat Feb 03 23:26:53 2024	1706982113	0	50	50	48
Sat Feb 03 23:26:52 2024	1706982112	0	50	50	47
Sat Feb 03 23:26:54 2024	1706982114	0	50	50	48
Sat Feb 03 23:26:54 2024	1706982114	0	50	51	49
